t,EKG
0,-0.079
5.00E-05,-0.079
1.00E-04,-0.078
0.00015,-0.077
0.0002,-0.076
0.00025,-0.075
0.0003,-0.075
0.00035,-0.074
0.0004,-0.073
0.00045,-0.072
0.0005,-0.071
0.00055,-0.071
0.0006,-0.07
0.00065,-0.069
0.0007,-0.068
0.00075,-0.067
0.0008,-0.066
0.00085,-0.065
0.0009,-0.063
0.00095,-0.062
0.001,-0.061
0.00105,-0.06
0.0011,-0.059
0.00115,-0.058
0.0012,-0.057
0.00125,-0.056
0.0013,-0.055
0.00135,-0.055
0.0014,-0.054
0.00145,-0.053
0.0015,-0.053
0.00155,-0.052
0.0016,-0.051
0.00165,-0.051
0.0017,-0.05
0.00175,-0.049
0.0018,-0.048
0.00185,-0.047
0.0019,-0.046
0.00195,-0.044
0.002,-0.043
0.00205,-0.042
0.0021,-0.04
0.00215,-0.039
0.0022,-0.037
0.00225,-0.036
0.0023,-0.035
0.00235,-0.034
0.0024,-0.033
0.00245,-0.033
0.0025,-0.032
0.00255,-0.032
0.0026,-0.031
0.00265,-0.03
0.0027,-0.029
0.00275,-0.028
0.0028,-0.028
0.00285,-0.027
0.0029,-0.026
0.00295,-0.025
0.003,-0.024
0.00305,-0.024
0.0031,-0.023
0.00315,-0.023
0.0032,-0.022
0.00325,-0.021
0.0033,-0.02
0.00335,-0.02
0.0034,-0.019
0.00345,-0.019
0.0035,-0.018
0.00355,-0.018
0.0036,-0.018
0.00365,-0.018
0.0037,-0.017
0.00375,-0.017
0.0038,-0.016
0.00385,-0.015
0.0039,-0.015
0.00395,-0.014
0.004,-0.014
0.00405,-0.013
0.0041,-0.013
0.00415,-0.013
0.0042,-0.012
0.00425,-0.012
0.0043,-0.011
0.00435,-0.011
0.0044,-0.01
0.00445,-0.01
0.0045,-0.009
0.00455,-0.009
0.0046,-0.008
0.00465,-0.008
0.0047,-0.008
0.00475,-0.007
0.0048,-0.007
0.00485,-0.007
0.0049,-0.007
0.00495,-0.006
0.005,-0.006
0.00505,-0.005
0.0051,-0.005
0.005149999,-0.004
0.005199999,-0.004
0.005249999,-0.004
0.005299999,-0.004
0.005349999,-0.004
0.005399999,-0.003
0.005449999,-0.003
0.005499999,-0.003
0.005549999,-0.003
0.005599999,-0.003
0.005649999,-0.002
0.005699999,-0.002
0.005749999,-0.002
0.005799999,-0.001
0.005849999,-0.001
0.005899999,-0.001
0.005949999,0
0.005999999,0
0.006049999,0
0.006099999,0
0.006149999,0
0.006199999,0
0.006249999,0
0.006299999,0
0.006349999,0
0.006399999,0.001
0.006449999,0.001
0.006499999,0.001
0.006549999,0.001
0.006599999,0.001
0.006649999,0.001
0.006699999,0.002
0.006749999,0.002
0.006799999,0.002
0.006849999,0.002
0.006899999,0.002
0.006949999,0.002
0.006999999,0.002
0.007049999,0.002
0.007099999,0.003
0.007149999,0.003
0.007199999,0.003
0.007249999,0.003
0.007299999,0.003
0.007349999,0.003
0.007399999,0.003
0.007449999,0.003
0.007499999,0.003
0.007549999,0.002
0.007599999,0.002
0.007649999,0.002
0.007699999,0.002
0.007749999,0.002
0.007799999,0.002
0.007849999,0.002
0.007899999,0.002
0.007949999,0.002
0.007999999,0.001
0.008049999,0.001
0.008099999,0.001
0.008149999,0.001
0.008199999,0.001
0.008249999,0.001
0.008299999,0.001
0.008349999,0.001
0.008399999,0.002
0.008449999,0.002
0.008499999,0.002
0.008549999,0.002
0.008599999,0.002
0.008649999,0.002
0.008699999,0.002
0.008749999,0.001
0.008799999,0.001
0.008849999,0.001
0.008899999,0.001
0.008949999,0.001
0.008999999,0.001
0.009049999,0.001
0.009099999,0.001
0.009149999,0
0.009199999,0
0.009249999,0
0.009299999,0
0.009349999,-0.001
0.009399999,-0.001
0.009449999,-0.001
0.009499999,-0.002
0.009549999,-0.002
0.009599999,-0.002
0.009649999,-0.003
0.009699999,-0.003
0.009749999,-0.003
0.009799999,-0.003
0.009849999,-0.003
0.009899999,-0.002
0.009949999,-0.002
0.009999999,-0.002
0.010049999,-0.002
0.010099999,-0.002
0.010149999,-0.002
0.010199999,-0.002
0.010249999,-0.002
0.010299999,-0.002
0.010349999,-0.002
0.010399999,-0.002
0.010449999,-0.003
0.010499999,-0.003
0.010549999,-0.003
0.010599999,-0.003
0.010649999,-0.003
0.010699999,-0.003
